COD_IBGE,MUNICIPIO,UF,REGIAO_TURISTICA,CLUSTER,QUANTIDADE_EMPREGOS,QUANTIDADE_ESTABELECIMENTOS,EMPREGOS_POR_ESTABELECIMENTO,VISITAS_INTERNACIONAIS_EST,VISITAS_NACIONAIS_EST,TOTAL_VISITAS_ESTIMADAS,ARRECADACAO,PIB_PER_CAPITA_R$,POPULACAO_2019
2606200,Goiana,PE,COSTA NÁUTICA COROA DO AVIÃO,C,35.0,9,3.89,379.0,130850.0,131229.0,437235.0,128206.09,79758
3118007,Congonhas,MG,Ouro,C,52.0,12,4.33,683.0,71521.0,72204.0,480509.0,36277.13,54762
4320800,Soledade,RS,Alto da Serra do Botucaraí,C,31.0,6,5.17,318.0,20624.0,20942.0,0.0,30505.38,31002
1505494,Palestina do Pará,PA,Região turística do Carajás,D,0.0,0,,0.0,728.0,728.0,0.0,9551.41,7589
2932101,Ubaíra,BA,Caminhos do Jiquiriçá,D,2.0,1,2.0,0.0,5919.0,5919.0,0.0,9908.27,19895
3110905,Campanha,MG,Águas,D,6.0,4,1.5,0.0,2624.0,2624.0,0.0,20035.62,16665
3132800,Itambé do Mato Dentro,MG,Serra do Cipó,D,2.0,1,2.0,0.0,0.0,0.0,0.0,13543.46,2081
3534757,Ouroeste,SP,MARAVILHAS  DO RIO GRANDE,D,5.0,2,2.5,0.0,0.0,0.0,0.0,36848.47,10361
4104428,Candói,PR,Lagos e Colinas,D,8.0,2,4.0,121.0,0.0,121.0,0.0,30816.84,15979
4309159,Gramado Xavier,RS,Alto da Serra do Botucaraí,D,1.0,1,1.0,182.0,0.0,182.0,0.0,20238.23,4325
4312450,Morro Redondo,RS,Costa Doce,D,4.0,1,4.0,0.0,14888.0,14888.0,0.0,14975.02,6568
4314548,Pinto Bandeira,RS,Uva e Vinho,D,1.0,1,1.0,0.0,0.0,0.0,0.0,19129.73,3003
2611705,Riacho das Almas,PE,MODA E ECOTURISMO,D,0.0,0,,0.0,14505.0,14505.0,0.0,9394.09,20546
2801504,Carmópolis,SE,Polo dos Tabuleiros,D,12.0,2,6.0,0.0,468.0,468.0,0.0,27566.67,16634
2917300,Ituberá,BA,Costa do Dendê,D,11.0,3,3.67,66.0,10600.0,10666.0,0.0,11202.76,28602
2926707,Rio de Contas,BA,Chapada Diamantina,D,35.0,6,5.83,95.0,0.0,95.0,0.0,9967.44,12989
3152600,Pouso Alto,MG,Terras Altas da Mantiqueira,D,54.0,4,13.5,0.0,0.0,0.0,0.0,44221.98,5940
3164902,São Sebastião do Rio Verde,MG,Terras Altas da Mantiqueira,D,5.0,1,5.0,0.0,0.0,0.0,0.0,14242.61,2241
3502903,Araçoiaba da Serra,SP,História & Aventuras,D,14.0,3,4.67,149.0,4510.0,4659.0,0.0,24299.7,34146
3516804,Gastão Vidigal,SP,Tietê Vivo,D,3.0,1,3.0,0.0,0.0,0.0,0.0,15273.46,4808
3547502,Santa Rita do Passa Quatro,SP,Região Turística Histórias e Vales,D,5.0,3,1.67,116.0,4903.0,5019.0,0.0,24811.26,27557
3550100,São Manuel,SP,Pólo Turístico Cuesta,D,12.0,3,4.0,112.0,0.0,112.0,0.0,26106.86,40954
3557303,Estiva Gerbi,SP,TRILHOS E TRILHAS DA BAIXAMOGIANA,D,0.0,0,,120.0,0.0,120.0,0.0,28196.3,11304
4211504,Nova Trento,SC,Vale Europeu,D,23.0,4,5.75,0.0,29457.0,29457.0,0.0,43355.14,14549
4214706,Rio dos Cedros,SC,Vale Europeu,D,6.0,2,3.0,121.0,2260.0,2381.0,0.0,28877.4,11676
4215901,São Bonifácio,SC,Grande Florianópolis,D,0.0,0,,124.0,648.0,772.0,0.0,25962.51,2838
4300307,Alecrim,RS,Rota do Rio Uruguai,D,0.0,0,,0.0,3410.0,3410.0,0.0,19836.1,5950
